Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
22,K194,P.S. 194 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,381291,$0.00 ,DSF: 0000776803
22,K194,P.S. 194 - BROOKLYN,DOE- RESOA,FY13 RESO A PLAYGROUND REDEVELOPMEN,Construction,Complete,8/25/2014,10/2/2015,10/2/2015,65000,63814,"$63,814.00 ",DSF: 0000754691
22,K194,P.S. 194 - BROOKLYN,DOE- RESOA,FY14 RESO A ELECTRICAL SYSTEMS,Construction,Complete,4/15/2015,7/24/2015,7/24/2015,83500,83500,"$73,059.00 ",DSF: 0000798781
22,K194,P.S. 194 - BROOKLYN,DOE- RESOA,FY15 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,125000,125000,$0.00 ,DSF: 0000800450
22,K194,P.S. 194 - BROOKLYN,DOE- RESOA,FY 14 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,7/24/2015,DOER,,41500,41500,"$35,937.00 ",DSF: 0000801040
22,K194,P.S. 194 - BROOKLYN,DOE- RESOA,FY 14 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,35000,35000,$0.00 ,DSF: 0000801041
22,K195,P.S. 195 - BROOKLYN,SCA CIP,SANDY INTERIOR SPACE/ELEC/FLOOD ELMN/CLIMATE/HEAT,Scope,Complete,4/16/2014,9/16/2014,8/26/2014,121486,101013,"$94,530.00 ","DSF: 0000780694, 0000780701, 0000799410, 0000799411, 0000800325"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,SANDY INTERIOR SPACE/ELEC/FLOOD ELMN/CLIMATE/HEAT,Design,Complete,8/26/2014,1/30/2015,11/17/2014,466970,404081,"$320,227.00 ","DSF: 0000780694, 0000780701, 0000799410, 0000799411, 0000800325"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,SANDY INTERIOR SPACE/ELEC/FLOOD ELMN/CLIMATE/HEAT,Construction,In-Progress,2/17/2015,12/7/2016,,8512466,7861543,"$4,511,365.00 ","DSF: 0000780694, 0000780701, 0000799410, 0000799411, 0000800325"
22,K207,P.S. 207 - BROOKLYN,Fast Track Projects,LL26-EXIT SIGNS,Construction,Complete,3/17/2014,FTK,7/31/2015,FTK,92507,"$69,094.00 ",DSF: 0000777474
22,K195,P.S. 195 - BROOKLYN,SCA CIP,SANDY INTERIOR SPACE/ELEC/FLOOD ELMN/CLIMATE/HEAT,"CM, F&E",In-Progress,2/17/2015,12/7/2016,,610290,365840,"$356,895.00 ","DSF: 0000780694, 0000780701, 0000799410, 0000799411, 0000800325"
22,K195,P.S. 195 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,5/4/2015,5/4/2015,5/4/2015,16740,215,$215.00 ,DSF: 0000780696
22,K195,P.S. 195 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,5/4/2015,9/4/2015,7/15/2015,47430,859,$859.00 ,DSF: 0000780696
22,K195,P.S. 195 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,10/6/2015,7/1/2016,,638910,588389,"$13,189.00 ",DSF: 0000780696
22,K195,P.S. 195 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,10/6/2015,7/1/2016,,122760,11012,"$11,012.00 ",DSF: 0000780696
22,K195,P.S. 195 - BROOKLYN,Fast Track Projects,SANDY- TEMP BOILER,Construction,In-Progress,8/26/2014,FTK,,FTK,953429,"$601,319.00 ",DSF: 0000800314
22,K195,P.S. 195 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,236757,$0.00 ,DSF: 0000776804
22,K197,P.S. 197 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/15/2014,12/17/2014,11/14/2014,3525,6306,"$6,306.00 ",DSF: 0000799544
22,K197,P.S. 197 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,11/14/2014,3/19/2015,4/17/2015,9986,38746,"$17,857.00 ",DSF: 0000799544
22,K197,P.S. 197 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,6/29/2015,1/24/2016,9/29/2015,134520,153679,"$98,549.00 ",DSF: 0000799544
22,K197,P.S. 197 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,6/29/2015,1/24/2016,9/29/2015,25847,19465,"$18,417.00 ",DSF: 0000799544
22,K197,P.S. 197 - THE KINGS HIGHWAY A,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,9/3/2015,9/25/2015,10/14/2015,110614,110102,"$110,102.00 ",DSF: 0000800581
22,K197,P.S. 197 - BROOKLYN,DOE- RESOA,FY15 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,100000,100000,$0.00 ,DSF: 0000800377
22,K198,P.S. 198,SCA CIP,ELEVATORS & ESCALATORS,Scope,Complete,2/6/2012,5/4/2012,5/15/2012,26610,30175,"$30,169.00 ",DSF: 0000735361
22,K198,P.S. 198,SCA CIP,ELEVATORS & ESCALATORS,Design,Complete,7/16/2013,12/2/2013,3/19/2014,75395,79105,"$77,626.00 ",DSF: 0000735361
22,K198,P.S. 198,SCA CIP,ELEVATORS & ESCALATORS,Construction,In-Progress,8/11/2014,8/10/2015,,1015615,923382,"$625,992.00 ",DSF: 0000735361
22,K198,P.S. 198,SCA CIP,ELEVATORS & ESCALATORS,"CM, F&E",In-Progress,8/11/2014,8/10/2015,,195140,85195,"$85,195.00 ",DSF: 0000735361
22,K198,P.S. 198 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY/ROOFS/PARAPETS,Scope,Complete,8/6/2013,12/23/2013,8/16/2013,100044,98721,"$98,721.00 ","DSF: 0000758235, 0000758236, 0000780760, 0000780761"
22,K198,P.S. 198 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY/ROOFS/PARAPETS,Design,Complete,9/16/2013,2/20/2014,2/20/2014,380836,296305,"$295,598.00 ","DSF: 0000758235, 0000758236, 0000780760, 0000780761"
22,K198,P.S. 198 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY/ROOFS/PARAPETS,Construction,In-Progress,8/11/2014,11/3/2015,,6892678,6350720,"$5,838,503.00 ","DSF: 0000758235, 0000758236, 0000780760, 0000780761"
22,K198,P.S. 198 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY/ROOFS/PARAPETS,"CM, F&E",In-Progress,8/11/2014,11/3/2015,,511085,194253,"$194,187.00 ","DSF: 0000758235, 0000758236, 0000780760, 0000780761"
22,K198,P.S. 198 - BROOKLYN,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU,Scope,Complete,4/25/2014,7/25/2014,6/20/2014,15704,26545,"$26,545.00 ",DSF: 0000799532
22,K198,P.S. 198 - BROOKLYN,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU,Design,Complete,6/25/2014,11/10/2014,4/22/2015,62816,96410,"$82,961.00 ",DSF: 0000799532
22,K198,P.S. 198 - BROOKLYN,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU,Construction,PNS,PNS,PNS,PNS,1177803,1177803,"$11,252.00 ",DSF: 0000799532
22,K198,P.S. 198 - BROOKLYN,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU,"CM, F&E",PNS,PNS,PNS,PNS,73286,73286,"$11,498.00 ",DSF: 0000799532
22,K198,P.S. 198 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776242
22,K203,P.S. 203 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,11/4/2015,DIIT,523949,"$399,005.00 ",DSF: 0000776812
22,K203,P.S. 203 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,9/25/2015,10/14/2015,10/14/2015,DOEL,40000,$0.00 ,DSF:
22,K206,P.S. 206 - BROOKLYN,DOE- RESOA,FY15 RESO A LIBRARY UPGRADE,Construction,In-Progress,3/24/2015,DOER,,150000,150000,"$18,661.00 ",DSF: 0000800487
22,K206,P.S. 206 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE BOYS AND GIRLS 1ST,Construction,In-Progress,9/2/2015,DOES,,DOES,98993,"$98,993.00 ",DSF: 0000780936
22,K207,P.S. 207 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,223978,$0.00 ,DSF: 0000776315
22,K207,P.S. 207 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,280442,$0.00 ,DSF: 0000776815
22,K217,P.S. 217 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,11/3/2014,1/7/2015,2/17/2015,2070,7182,"$1,182.00 ",DSF: 0000799549
22,K217,P.S. 217 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/17/2015,6/16/2015,4/8/2015,5865,43747,"$18,653.00 ",DSF: 0000799549
22,K217,P.S. 217 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,6/25/2015,11/21/2015,11/5/2015,79005,98799,$549.00 ,DSF: 0000799549
22,K217,P.S. 217 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,6/25/2015,11/21/2015,11/5/2015,15180,15424,"$12,879.00 ",DSF: 0000799549
22,K217,P.S. 217 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,Scope,Complete,11/19/2013,4/8/2014,9/24/2014,147361,127551,"$127,547.00 ","DSF: 0000758598, 0000781142, 0000781143, 0000804446"
22,K217,P.S. 217 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,Design,Complete,4/13/2015,9/11/2015,10/6/2015,578191,322865,"$175,521.00 ","DSF: 0000758598, 0000781142, 0000781143, 0000804446"
22,K217,P.S. 217 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,Construction,PNS,PNS,PNS,PNS,10696887,10696887,"$6,776.00 ","DSF: 0000758598, 0000781142, 0000781143, 0000804446"
22,K217,P.S. 217 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,713383,713383,"$71,007.00 ","DSF: 0000758598, 0000781142, 0000781143, 0000804446"
22,K217,P.S. 217 - BROOKLYN,DOE- RESOA,FY 14 RESO A SCIENCE CLASSROOM RENO,Construction,In-Progress,8/25/2014,DOER,,175000,175000,"$18,160.00 ",DSF: 0000777328
22,K217,P.S. 217 - BROOKLYN,DOE - Skilled Trades,MULTIPLE GREASE TRAP REPLACEMENT,Construction,Complete,8/8/2014,3/11/2015,3/11/2015,DOES,45948,"$45,948.00 ",DSF: 0000801043
22,K222,P.S. 222 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,253979,$0.00 ,DSF: 0000776829
22,K222,P.S. 222 - BROOKLYN,DOE- RESOA,FY15 RESO A CAFETERIA/MULTIPURPOSE,Construction,In-Progress,12/23/2014,DOER,,100000,100000,"$54,208.00 ",DSF: 0000800441
22,K234,I.S. 234 - BROOKLYN,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/9/2014,12142,15786,"$15,786.00 ",DSF: 0000776046
22,K234,I.S. 234 - BROOKLYN,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/10/2014,5/15/2014,4/17/2014,36426,20997,"$20,400.00 ",DSF: 0000776046
22,K234,I.S. 234 - BROOKLYN,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,Complete,7/14/2014,5/9/2015,9/30/2015,463416,426171,"$342,578.00 ",DSF: 0000776046
22,K234,I.S. 234 - BROOKLYN,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",Complete,7/14/2014,5/9/2015,9/30/2015,205171,142252,"$134,557.00 ",DSF: 0000776046
22,K234,I.S. 234 - BROOKLYN,SCA Furniture & Equi,FY16 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,242000,242000,$0.00 ,DSF: 0000822620
22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,Scope,Complete,3/21/2013,8/5/2013,8/21/2013,133961,140261,"$130,810.00 ","DSF: 0000775684, 0000781499, 0000781500, 0000804795"
22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,Design,Complete,1/8/2015,6/10/2015,6/26/2015,520244,325429,"$29,862.00 ","DSF: 0000775684, 0000781499, 0000781500, 0000804795"
22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,9554546,9554546,"$129,953.00 ","DSF: 0000775684, 0000781499, 0000781500, 0000804795"
22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,660816,660816,"$24,764.00 ","DSF: 0000775684, 0000781499, 0000781500, 0000804795"
22,K236,P.S. 236 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,338026,$0.00 ,DSF: 0000776844
22,K236,P.S. 236 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,In-Progress,5/19/2015,6/10/2015,,125000,123745,"$123,745.00 ",DSF: 0000800595
22,K240,I.S. 240 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/18/2014,7/18/2014,7/18/2014,15300,6602,"$6,602.00 ",DSF: 0000781566
22,K240,I.S. 240 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/18/2014,11/18/2014,9/24/2014,61200,15698,"$15,563.00 ",DSF: 0000781566
22,K240,I.S. 240 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,1/12/2015,10/8/2015,7/28/2015,1147500,1096204,"$980,791.00 ",DSF: 0000781566
22,K240,I.S. 240 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,1/12/2015,10/8/2015,7/28/2015,71400,51229,"$51,094.00 ",DSF: 0000781566
28,Q595,PATHWAYS TO GRADUATION - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/15/2015,7/15/2015,7/15/2015,9960,181,$181.00 ,DSF: 0000791938
28,Q595,PATHWAYS TO GRADUATION - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/15/2015,11/13/2015,10/5/2015,28220,724,$724.00 ,DSF: 0000791938
28,Q595,PATHWAYS TO GRADUATION - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,12/21/2015,9/15/2016,,380140,354702,$252.00 ,DSF: 0000791938
28,Q595,PATHWAYS TO GRADUATION - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,12/21/2015,9/15/2016,,73040,37025,"$1,040.00 ",DSF: 0000791938
28,Q595,QUEENS SATELLITE HS FOR OPPORT,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Scope,Complete,10/28/2014,1/30/2015,2/26/2015,26582,26582,"$26,582.00 ",DSF: 0000800312
28,Q595,QUEENS SATELLITE HS FOR OPPORT,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Design,Complete,3/4/2015,7/17/2015,9/18/2015,55599,55599,"$51,149.00 ",DSF: 0000800312
28,Q595,QUEENS SATELLITE HS FOR OPPORT,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,25078,25078,"$8,053.00 ",DSF: 0000800312
28,Q595,QUEENS SATELLITE HS FOR OPPORT,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,9692,9692,"$9,632.00 ",DSF: 0000800312
28,Q595,PATHWAYS TO GRADUATION - Q,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,8/27/2015,DOES,,DOES,62539,"$1,864.00 ",DSF: 0000815168
28,Q608,PRE-K CENTER@ KEW GARDENS ROAD,PRE-K,LEASE,Scope,Complete,9/30/2014,10/30/2014,9/30/2014,97698,23248,"$23,248.00 ",DSF: 0000801086
28,Q608,PRE-K CENTER@ KEW GARDENS ROAD,PRE-K,LEASE,Design,Complete,10/1/2014,12/15/2014,12/30/2014,390793,800392,"$592,112.00 ",DSF: 0000801086
28,Q608,PRE-K CENTER@ KEW GARDENS ROAD,PRE-K,LEASE,Construction,Complete,3/12/2015,8/13/2015,8/13/2015,6252696,5641828,"$5,184,443.00 ",DSF: 0000801086
28,Q608,PRE-K CENTER@ KEW GARDENS ROAD,PRE-K,LEASE,"CM, F&E",Complete,3/12/2015,8/13/2015,8/13/2015,642558,1165703,"$1,113,793.00 ",DSF: 0000801086
28,Q620,THOMAS A. EDISON HS - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/7/2014,12/10/2014,11/7/2014,6960,6000,"$6,000.00 ",DSF: 0000799637
28,Q620,THOMAS A. EDISON HS - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,11/7/2014,3/13/2015,3/19/2015,19720,41294,"$18,867.00 ",DSF: 0000799637
28,Q620,THOMAS A. EDISON HS - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,6/30/2015,3/25/2016,8/20/2015,265640,252735,"$204,776.00 ",DSF: 0000799637
28,Q620,THOMAS A. EDISON HS - Q,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,6/30/2015,3/25/2016,8/20/2015,51040,31106,"$6,639.00 ",DSF: 0000799637
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP,PARAPETS/EXT MASONRY/ROOFS,Scope,Complete,8/14/2013,1/2/2014,11/27/2013,186600,115104,"$113,069.00 ","DSF: 0000769211, 0000769212, 0000791991"
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP,PARAPETS/EXT MASONRY/ROOFS,Design,Complete,1/10/2014,6/12/2014,4/30/2014,746400,332823,"$332,316.00 ","DSF: 0000769211, 0000769212, 0000791991"
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP,PARAPETS/EXT MASONRY/ROOFS,Construction,In-Progress,8/4/2014,4/14/2016,,13995000,12739931,"$9,620,056.00 ","DSF: 0000769211, 0000769212, 0000791991"
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP,PARAPETS/EXT MASONRY/ROOFS,"CM, F&E",In-Progress,8/4/2014,4/14/2016,,870800,422717,"$422,210.00 ","DSF: 0000769211, 0000769212, 0000791991"
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822706
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Design,PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822706
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,132000,132000,$0.00 ,DSF: 0000822706
28,Q620,THOMAS A. EDISON HS - Q,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822706
28,Q620,THOMAS A. EDISON HS - Q,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,60,$60.00 ,DSF: 0000011996
28,Q620,THOMAS A. EDISON HS - Q,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,2572,"$2,572.00 ",DSF: 0000011996
28,Q620,THOMAS A. EDISON HS - Q,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,6/21/2006,4/30/2007,,77000,32054,"$31,951.00 ",DSF: 0000011996
28,Q620,THOMAS A. EDISON HS - Q,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,6/21/2006,4/30/2007,,12240,9846,"$9,846.00 ",DSF: 0000011996
28,Q620,THOMAS A. EDISON HS - Q,DOE - Skilled Trades,CTF- ROOM CONVERSION,Scope,Complete,9/8/2014,10/21/2014,10/21/2014,DOES,DOES,$0.00 ,DSF: 0000800338
28,Q620,THOMAS A. EDISON HS - Q,DOE - Skilled Trades,CTF- ROOM CONVERSION,Design,Complete,10/22/2014,12/23/2014,12/23/2014,DOES,DOES,$0.00 ,DSF: 0000800338
28,Q620,THOMAS A. EDISON HS - Q,DOE - Skilled Trades,CTF- ROOM CONVERSION,Construction,In-Progress,7/10/2015,DOES,,DOES,518000,"$168,245.00 ",DSF: 0000800338
28,Q620,THOMAS A. EDISON HS - Q,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,In-Progress,6/4/2015,DOER,,250000,250000,$0.00 ,DSF: 0000800473
28,Q680,YOUNG WOMENS' LEADERSHIP SCHOO,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/24/2015,7/16/2015,,200000,194024,"$194,024.00 ",DSF: 0000800495
28,Q686,I.S./H.S. 167 - QUEENS,SCA Furniture & Equi,FY14 RESO A SCIENCE LAB UPGRADES,F&E,PNS,PNS,PNS,PNS,50000,50000,"$50,000.00 ",DSF: 0000799337
28,Q686,QUEENS METROPOLITAN HIGH SCHOO,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,125000,125000,$0.00 ,DSF: 0000798834
28,Q690,HS FOR LAW ENFORCEMENT - QUEEN,DOE - Skilled Trades,FIRE SUPPRESSION TANK,Construction,Complete,8/12/2014,4/9/2015,4/9/2015,DOES,63615,"$63,615.00 ",DSF: 0000800326
28,Q695,GATEWAY HEALTH & SCIENCES H.S.,DOE- RESOA,FY12 RESO A- CONVERT STORAGE SPACE,Construction,PNS,PNS,PNS,PNS,50000,50000,$0.00 ,DSF: 0000732169
28,Q774,QUEENS HIGH SCHOOL FOR THE SCI,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,8/27/2015,9/18/2015,10/23/2015,100000,98978,"$98,978.00 ",DSF: 0000800932
28,Q882,Q009 SPED - QUEENS,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/18/2015,7/10/2015,,56000,55425,"$55,425.00 ",DSF: 0000800936
29,Q015,P.S. 15 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,2/23/2015,2/23/2015,2/23/2015,21540,101,$101.00 ,DSF: 0000787871
29,Q015,P.S. 15 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/23/2015,6/23/2015,7/24/2015,61030,405,$405.00 ,DSF: 0000787871
29,Q015,P.S. 15 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,11/16/2015,8/11/2016,,822110,758465,"$17,464.00 ",DSF: 0000787871
29,Q015,P.S. 15 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,11/16/2015,8/11/2016,,157960,74368,"$74,368.00 ",DSF: 0000787871
29,Q015,P.S. 015 JACKIE ROBINSON,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,8/18/2015,9/9/2015,10/19/2015,105000,103946,"$103,946.00 ",DSF: 0000800766
29,Q033,P.S. 33 - QUEENS,SCA CIP,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,Scope,Complete,6/16/2014,10/30/2014,11/14/2014,88021,19148,"$1,580.00 ","DSF: 0000788137, 0000788138, 0000811451"
29,Q033,P.S. 33 - QUEENS,SCA CIP,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,Design,In-Progress,9/28/2015,3/3/2016,,347842,347842,"$5,553.00 ","DSF: 0000788137, 0000788138, 0000811451"
29,Q033,P.S. 33 - QUEENS,SCA CIP,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,6467645,6467645,"$6,556.00 ","DSF: 0000788137, 0000788138, 0000811451"
29,Q033,P.S. 33 - QUEENS,SCA CIP,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,420459,420459,"$7,411.00 ","DSF: 0000788137, 0000788138, 0000811451"
29,Q033,P.S. 33 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,6/24/2015,6/24/2015,6/24/2015,28037,374,$374.00 ,DSF: 0000788132
29,Q033,P.S. 33 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,6/24/2015,10/26/2015,9/2/2015,79439,1497,"$1,497.00 ",DSF: 0000788132
29,Q033,P.S. 33 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,1070095,1070095,$356.00 ,DSF: 0000788132
29,Q033,P.S. 33 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,205608,205608,"$1,291.00 ",DSF: 0000788132
29,Q034,P.S. 34 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,3/23/2015,3/23/2015,3/23/2015,17167,89,$89.00 ,DSF: 0000788154
29,Q034,P.S. 34 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,3/23/2015,7/23/2015,7/30/2015,48639,472,$472.00 ,DSF: 0000788154
29,Q034,P.S. 34 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,12/7/2015,9/1/2016,,655190,604507,"$13,889.00 ",DSF: 0000788154
29,Q034,P.S. 34 - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,12/7/2015,9/1/2016,,125888,10796,"$10,796.00 ",DSF: 0000788154
29,Q035,P.S. 35 - QUEENS,SCA Capacity,ADDITION,Scope,Complete,5/10/2012,10/18/2012,10/19/2012,1070200,900565,"$900,512.00 ",DSF: 0000752431
29,Q035,P.S. 35 - QUEENS,SCA Capacity,ADDITION,Design,Complete,10/22/2012,4/25/2013,5/9/2013,3210600,3355072,"$2,230,792.00 ",DSF: 0000752431
